Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        4.81457,     0.09959578,              0,       871.2994,      -129.6454
       4.816524,     0.09966467,              0,       876.7336,      -131.8728
       4.818477,      0.1003506,              0,       888.8079,      -131.1361
        4.82043,      0.1001525,              0,       889.2527,      -130.3225
       4.822383,      0.1003727,              0,       896.3038,      -128.8408
       4.824336,     0.09992787,              0,       888.5444,      -128.7432
       4.826289,     0.09982265,              0,       887.8063,       -129.924
       4.828242,     0.09936579,              0,       884.8873,      -132.4418
       4.830195,      0.0996322,              0,       896.3741,       -134.759
       4.832149,      0.1003652,              0,       912.1724,      -133.7261
       4.834092,      0.1008532,              0,       915.6367,      -130.4176
       4.836045,     0.09921435,              0,       896.9719,      -132.6043
       4.837998,     0.09940825,              0,       904.6392,      -135.3243
       4.839951,      0.1001298,              0,       913.1635,      -134.9797
       4.841904,     0.09993535,              0,       919.7001,      -135.3769
       4.843857,     0.09977835,              0,       913.7128,      -136.1953
        4.84581,      0.1007054,              0,       931.9133,      -135.0185
       4.847764,      0.1004433,              0,       930.2578,      -133.8558
       4.849717,     0.09980736,              0,        924.071,       -134.295
        4.85167,     0.09949262,              0,        922.564,      -136.0164
       4.853623,     0.09962001,              0,       928.7205,       -137.522
       4.855576,      0.1001245,              0,        939.439,      -137.7886
       4.857529,     0.09986456,              0,       940.4803,      -137.6208
       4.859482,     0.09990504,              0,       942.7952,      -137.7866
       4.861435,      0.0995627,              0,       934.5261,      -139.1611
       4.863389,     0.09980858,              0,       938.8199,      -140.2638
       4.865342,     0.09947645,              0,       940.4468,      -142.1289
       4.867295,     0.09984364,              0,       946.0821,      -143.6242
       4.869248,      0.1003762,              0,       957.1895,      -143.7376
       4.871201,      0.1002818,              0,       964.0724,      -143.3694
       4.873154,     0.09983905,              0,        961.851,      -143.7319
       4.875107,      0.1001052,              0,       971.3648,      -143.6415
        4.87706,     0.09984817,              0,       970.7753,      -143.9311
       4.879014,     0.09996523,              0,       974.5146,      -144.2158
       4.880986,      0.0999606,              0,       975.4182,      -144.3416
       4.882939,      0.0998366,              0,         979.01,      -144.9368
       4.884892,     0.09981444,              0,       982.3015,      -145.5708
       4.886846,      0.1000623,              0,       987.8724,      -145.3741
       4.888799,       0.100131,              0,        989.217,      -144.7944
